epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,511.333,1.22774,0.77999,1.18514,0.75097,0.57238,0.65012,0.39171,1.16834,0.79694,1.23849,0.00104231,0.00104231,0.00104231
43,523.4,1.22069,0.78505,1.17403,0.68555,0.57595,0.61606,0.39347,1.14824,0.77589,1.22149,0.00103288,0.00103288,0.00103288
44,536.056,1.2068,0.77726,1.1707,0.63094,0.60152,0.622,0.38736,1.13623,0.81961,1.22556,0.00102345,0.00102345,0.00102345
45,548.206,1.20664,0.75303,1.14123,0.698,0.56214,0.61513,0.38153,1.1842,0.85708,1.24805,0.00101402,0.00101402,0.00101402
46,560.173,1.18117,0.74894,1.15879,0.73486,0.61102,0.64733,0.40927,1.1647,0.78412,1.24388,0.00100459,0.00100459,0.00100459
47,572.239,1.1957,0.76916,1.16091,0.63904,0.59036,0.62875,0.38394,1.15799,0.88353,1.24224,0.000995156,0.000995156,0.000995156
48,584.641,1.18676,0.76477,1.17811,0.73228,0.60695,0.65953,0.41933,1.16624,0.75937,1.25458,0.000985724,0.000985724,0.000985724
49,597.327,1.19824,0.75239,1.16444,0.81784,0.60253,0.64005,0.40433,1.18017,0.81569,1.25821,0.000976293,0.000976293,0.000976293
50,609.904,1.17023,0.73925,1.17292,0.78112,0.5832,0.64816,0.40545,1.16918,0.8022,1.25427,0.000966861,0.000966861,0.000966861
51,623.147,1.17617,0.75034,1.1636,0.85418,0.58059,0.65309,0.40749,1.16364,0.79652,1.24338,0.00095743,0.00095743,0.00095743
52,635.722,1.21187,0.73877,1.16764,0.83735,0.57931,0.65726,0.40699,1.18126,0.77563,1.24571,0.000947999,0.000947999,0.000947999
53,648.417,1.16511,0.71857,1.14963,0.82001,0.57107,0.64118,0.40406,1.17107,0.77881,1.25174,0.000938567,0.000938567,0.000938567
54,661.709,1.18277,0.73527,1.16118,0.83377,0.5609,0.68494,0.41826,1.17118,0.74354,1.24191,0.000929136,0.000929136,0.000929136
55,673.716,1.15803,0.72228,1.16344,0.83335,0.5737,0.65714,0.41732,1.14953,0.7363,1.23328,0.000919704,0.000919704,0.000919704
56,686.274,1.18745,0.72737,1.14623,0.76446,0.59758,0.65152,0.3981,1.15393,0.76998,1.22666,0.000910273,0.000910273,0.000910273
57,699.038,1.15653,0.70334,1.13619,0.78567,0.63347,0.67974,0.42692,1.12138,0.73084,1.21461,0.000900842,0.000900842,0.000900842
58,711.458,1.15391,0.69935,1.1505,0.82306,0.59115,0.66999,0.42258,1.14448,0.76016,1.23033,0.00089141,0.00089141,0.00089141
59,723.478,1.16777,0.70389,1.13672,0.81412,0.57853,0.66409,0.40872,1.15364,0.78912,1.22532,0.000881979,0.000881979,0.000881979
60,735.949,1.1588,0.71656,1.1479,0.74732,0.57736,0.67582,0.41896,1.13804,0.75438,1.2251,0.000872547,0.000872547,0.000872547
61,747.955,1.13951,0.70826,1.13443,0.74404,0.60181,0.64976,0.42108,1.18235,0.77511,1.25491,0.000863116,0.000863116,0.000863116
62,760.774,1.14506,0.69007,1.12443,0.74522,0.60647,0.65465,0.40377,1.18398,0.79219,1.26273,0.000853685,0.000853685,0.000853685
63,772.827,1.15199,0.69186,1.12493,0.80534,0.60015,0.69289,0.43047,1.13182,0.75331,1.22494,0.000844253,0.000844253,0.000844253
64,784.468,1.13402,0.68486,1.12007,0.67621,0.66265,0.67275,0.43011,1.11708,0.7319,1.20253,0.000834822,0.000834822,0.000834822
65,796.106,1.12416,0.68799,1.13583,0.86229,0.57976,0.68143,0.41574,1.15663,0.78223,1.22857,0.00082539,0.00082539,0.00082539
66,808.031,1.15547,0.697,1.12734,0.83854,0.58565,0.66902,0.41357,1.13078,0.74607,1.20822,0.000815959,0.000815959,0.000815959
67,820.45,1.1215,0.66969,1.11855,0.7962,0.56686,0.66305,0.4105,1.12712,0.74381,1.22412,0.000806528,0.000806528,0.000806528
68,832.842,1.13204,0.66475,1.11747,0.75967,0.58926,0.67028,0.41173,1.12474,0.72584,1.2241,0.000797096,0.000797096,0.000797096
69,844.362,1.11001,0.66507,1.12936,0.80234,0.62794,0.69313,0.42741,1.1252,0.73389,1.21434,0.000787665,0.000787665,0.000787665
70,856.003,1.10456,0.65141,1.1121,0.68563,0.6349,0.66825,0.4196,1.13867,0.74752,1.2407,0.000778233,0.000778233,0.000778233
71,867.303,1.11104,0.66438,1.10355,0.72369,0.63956,0.67538,0.42388,1.14131,0.69724,1.23295,0.000768802,0.000768802,0.000768802
72,878.581,1.11574,0.66761,1.10475,0.72168,0.61815,0.66549,0.42362,1.1221,0.72727,1.21509,0.000759371,0.000759371,0.000759371
73,890.141,1.11196,0.66164,1.10627,0.74949,0.62322,0.68687,0.43817,1.10002,0.71765,1.19961,0.000749939,0.000749939,0.000749939
74,901.476,1.12041,0.66113,1.11399,0.80494,0.6376,0.70392,0.44556,1.11793,0.71228,1.21407,0.000740508,0.000740508,0.000740508
75,913.024,1.11276,0.65571,1.11638,0.79035,0.61565,0.69174,0.4405,1.09677,0.73885,1.19402,0.000731076,0.000731076,0.000731076
76,924.93,1.12881,0.66945,1.10465,0.84935,0.62156,0.68592,0.43418,1.11745,0.73775,1.20618,0.000721645,0.000721645,0.000721645
77,936.296,1.10559,0.66292,1.09581,0.82549,0.60618,0.70064,0.43453,1.12277,0.70921,1.22043,0.000712214,0.000712214,0.000712214
78,947.792,1.11681,0.66008,1.09951,0.77044,0.65136,0.69379,0.43407,1.14059,0.72174,1.22618,0.000702782,0.000702782,0.000702782
79,959.545,1.10077,0.63909,1.09734,0.85608,0.57886,0.69866,0.43717,1.1181,0.7396,1.20561,0.000693351,0.000693351,0.000693351
80,971.587,1.09315,0.62862,1.09874,0.75536,0.6445,0.69228,0.43273,1.14443,0.71894,1.22646,0.000683919,0.000683919,0.000683919
81,982.886,1.06241,0.61194,1.0846,0.75766,0.61525,0.67801,0.43327,1.11754,0.70103,1.20821,0.000674488,0.000674488,0.000674488
82,994.238,1.08422,0.63202,1.08028,0.78363,0.61102,0.68602,0.43352,1.08913,0.68972,1.19362,0.000665057,0.000665057,0.000665057
83,1005.79,1.0828,0.62546,1.09142,0.87583,0.5677,0.68482,0.43283,1.09966,0.69633,1.20667,0.000655625,0.000655625,0.000655625
84,1016.8,1.06717,0.62802,1.09193,0.77305,0.63267,0.69645,0.4395,1.09762,0.71148,1.20041,0.000646194,0.000646194,0.000646194
85,1028.09,1.08714,0.62375,1.08901,0.76775,0.62319,0.68752,0.43671,1.11438,0.70836,1.20135,0.000636762,0.000636762,0.000636762
86,1039.84,1.07417,0.62027,1.09722,0.85287,0.58338,0.68465,0.42736,1.10912,0.7195,1.20084,0.000627331,0.000627331,0.000627331
87,1051.32,1.08185,0.61878,1.08278,0.77029,0.6506,0.69423,0.44344,1.08473,0.6934,1.17854,0.0006179,0.0006179,0.0006179
88,1062.89,1.06622,0.61065,1.08284,0.9155,0.57452,0.6803,0.42175,1.11151,0.71526,1.20012,0.000608468,0.000608468,0.000608468
89,1074.44,1.08286,0.60671,1.08071,0.83604,0.59465,0.68434,0.42803,1.13557,0.70848,1.23216,0.000599037,0.000599037,0.000599037
90,1086.07,1.06742,0.62066,1.08308,0.86229,0.57806,0.69184,0.44155,1.13118,0.71342,1.21916,0.000589605,0.000589605,0.000589605
91,1097.46,1.05292,0.59444,1.07725,0.72396,0.67158,0.69207,0.44396,1.08535,0.68239,1.18836,0.000580174,0.000580174,0.000580174
92,1108.9,1.04755,0.60709,1.08112,0.75123,0.64167,0.69658,0.43743,1.10766,0.70413,1.19922,0.000570743,0.000570743,0.000570743
93,1120.33,1.05003,0.59958,1.0802,0.82275,0.64183,0.69685,0.44843,1.06687,0.6856,1.17472,0.000561311,0.000561311,0.000561311
94,1131.72,1.06557,0.60342,1.08069,0.82249,0.62034,0.69601,0.44361,1.10562,0.6887,1.20552,0.00055188,0.00055188,0.00055188
95,1143.34,1.07316,0.60376,1.07638,0.81109,0.61308,0.694,0.43438,1.09678,0.69111,1.19063,0.000542448,0.000542448,0.000542448
96,1156.83,1.05224,0.59706,1.06643,0.79506,0.65647,0.70167,0.44335,1.09725,0.69828,1.18773,0.000533017,0.000533017,0.000533017
97,1168.07,1.059,0.59524,1.06857,0.8542,0.59798,0.7133,0.44946,1.08247,0.66594,1.17674,0.000523586,0.000523586,0.000523586
98,1179.35,1.0478,0.59391,1.06779,0.73802,0.63005,0.68972,0.43641,1.09983,0.71549,1.18711,0.000514154,0.000514154,0.000514154
99,1190.69,1.06263,0.60044,1.07974,0.81855,0.65113,0.69868,0.44448,1.10635,0.68726,1.18943,0.000504723,0.000504723,0.000504723
100,1202.01,1.05382,0.59318,1.0793,0.77349,0.63739,0.68509,0.43562,1.1087,0.70333,1.18919,0.000495291,0.000495291,0.000495291
101,1213.57,1.05479,0.58962,1.07288,0.83467,0.62882,0.689,0.43774,1.07931,0.74346,1.17414,0.00048586,0.00048586,0.00048586
102,1225.39,1.0274,0.58341,1.0568,0.773,0.64326,0.68735,0.44172,1.09582,0.67299,1.19254,0.000476429,0.000476429,0.000476429
103,1236.38,1.03269,0.5887,1.071,0.78466,0.63954,0.69914,0.43647,1.11935,0.6799,1.20853,0.000466997,0.000466997,0.000466997
104,1247.78,1.0381,0.58218,1.06917,0.76799,0.64914,0.69927,0.44427,1.09623,0.68398,1.19687,0.000457566,0.000457566,0.000457566
105,1258.74,1.03089,0.58302,1.0652,0.77367,0.6244,0.68947,0.42586,1.10475,0.66884,1.19555,0.000448134,0.000448134,0.000448134
106,1270.09,1.04111,0.5827,1.06284,0.8245,0.6085,0.69323,0.43797,1.10691,0.67925,1.19713,0.000438703,0.000438703,0.000438703
107,1281.49,1.02191,0.57398,1.054,0.81972,0.6099,0.71384,0.44961,1.10577,0.67837,1.19739,0.000429272,0.000429272,0.000429272
108,1292.63,1.02605,0.57557,1.06637,0.75168,0.64998,0.69843,0.4514,1.08543,0.65601,1.18118,0.00041984,0.00041984,0.00041984
109,1303.99,1.00932,0.56802,1.0557,0.83937,0.66777,0.70559,0.44199,1.07877,0.66806,1.17031,0.000410409,0.000410409,0.000410409
